image,label
310002054.png,1
370913041.png,1
370413083.png,1
371001371.png,1
330001403.png,1
360020032.png,0
320007124.png,0
370407092.png,0
330002132.png,0
330009141.png,0
330002531.png,1
360020171.png,1
360018011.png,0
350022031.png,1
370413102.png,0
320006661.png,1
370319011.png,0
310012273.png,0
371201202.png,1
370303161.png,0
340002163.png,0
330001141.png,1
310010072.png,1
320006011.png,1
370608131.png,0
350019101.png,0
320003623.png,0
370103182.png,1
360011321.png,0
370511072.png,0
3200011092.png,1
350030061.png,1
370801011.png,0
350023102.png,0
370413131.png,1
350020112.png,0
370723041.png,1
340009254.png,1
360012081.png,0
330001422.png,0
370305051.png,1
360009341.png,1
340008204.png,0
370313061.png,1
360029081.png,0
330002371.png,0
370505081.png,1
360030072.png,0
360030132.png,0
370403072.png,0
370909052.png,1
370901442.png,0
360005502.png,0
330003092.png,0
370110022.png,1
370721031.png,0
370905131.png,1
370606131.png,1
371401391.png,1
360030011.png,1
371301311.png,1
370601023.png,0
370908051.png,1
370601152.png,0
360012131.png,1
370306111.png,1
370714151.png,0
320005371.png,1
370731032.png,1
350021131.png,1
310005301.png,0
340012021.png,1
370312213.png,1
310003462.png,0
371301452.png,1
310006222.png,0
370607051.png,1
360008242.png,1
330002282.png,0
320010342.png,1
370403121.png,0
340029041.png,1
320011082.png,0
340027193.png,0
370504221.png,1
370411071.png,0
320011173.png,1
340014041.png,1
370412013.png,1
320009142.png,0
370730051.png,0
360024161.png,1
350009041.png,1
370901291.png,1
360028123.png,0
370605092.png,0
360009471.png,1
370302161.png,1
370719051.png,1
371009011.png,1
310010081.png,0
320011264.png,0
370326121.png,1
370315011.png,1
310001051.png,1
360017071.png,0
370801361.png,1
350012141.png,0
360007181.png,1
350011091.png,0
370310372.png,0
310010181.png,1
340003203.png,1
370308181.png,1
360024172.png,0
360011041.png,1
370301521.png,0
370808111.png,1
360013051.png,1
370201091.png,0
370408031.png,1
320001081.png,0
360004182.png,1
370103011.png,1
320017111.png,1
360028122.png,1
340006343.png,0
370504112.png,0
371001171.png,1
310004223.png,1
340006012.png,0
370502161.png,1
360012071.png,1
370503092.png,1
330010451.png,1
370105131.png,0
320005771.png,1
371402143.png,1
370611012.png,1
340014051.png,1
320013101.png,1
340011051.png,1
3200021123.png,1
320008151.png,0
371207071.png,1
320005211.png,1
371302021.png,1
370602171.png,1
350032072.png,0
360034022.png,1
370606132.png,0
370302262.png,1
340002171.png,0
340004062.png,0
370608231.png,1
370309071.png,1
340009233.png,1
350030022.png,1
371301043.png,0
360012251.png,0
371401072.png,0
370402302.png,0
370812061.png,0
371401163.png,0
350001212.png,0
320019041.png,1
370311252.png,1
330002824.png,0
360035031.png,1
320001681.png,1
310011172.png,1
320002381.png,1
350020042.png,0
371009061.png,0
340005052.png,0
370308022.png,0
370308112.png,0
370810121.png,0
370727014.png,0
340002024.png,0
330004233.png,0
340011202.png,0
350009052.png,0
350024021.png,1
320001841.png,1
370517181.png,1
310001141.png,1
360009332.png,0
370105042.png,1
350035172.png,0
370702031.png,1
370716121.png,0
320018083.png,0
370716071.png,0
320019102.png,1
370701182.png,0
330003011.png,1
370609012.png,0
370324111.png,1
320013452.png,0
340022042.png,0
320005702.png,0
310006161.png,1
370306011.png,0
360012651.png,0
370730021.png,0
320013352.png,0
370301722.png,1
370701242.png,0
371202193.png,0
371402322.png,1
370401141.png,1
330003262.png,1
350034112.png,1
340015081.png,0
360009111.png,0
370705112.png,1
371401162.png,0
310012171.png,1
310001262.png,0
340005032.png,1
360012042.png,1
371402054.png,0
370509013.png,0
371204191.png,1
340018151.png,1
370610141.png,1
370708092.png,0
370403131.png,1
360030092.png,1
370905163.png,1
310004181.png,0
370505141.png,0
360018012.png,0
370402072.png,1
330004032.png,1
370708071.png,0
370615011.png,1
370701111.png,0
371205091.png,1
310004391.png,1
350006071.png,1
320029012.png,0
370506212.png,0
370513111.png,0
350032111.png,0
370705122.png,0
320002581.png,1
370901173.png,0
370301542.png,0
370301661.png,1
370604081.png,0
371016021.png,0
370801182.png,0
320010071.png,1
370326181.png,1
360028111.png,1
340005021.png,1
370607091.png,1
360021061.png,1
370306143.png,1
370310321.png,1
330008231.png,0
330008141.png,1
350031331.png,1
330004271.png,0
370723091.png,1
370301692.png,0
340014062.png,0
320017161.png,1
320008142.png,0
320002291.png,0
320002791.png,1
330008291.png,1
330002481.png,1
370515071.png,1
370708041.png,0
340006241.png,1
370503291.png,1
371401371.png,0
340006101.png,1
371009062.png,0
340015041.png,0
320013421.png,1
350015102.png,1
370702041.png,1
340027322.png,1
370701501.png,1
340020012.png,0
370504032.png,1
360011184.png,1
310011094.png,0
370320101.png,1
360018021.png,1
370105102.png,1
370408041.png,1
360024113.png,1
350005031.png,0
340007131.png,0
340006212.png,0
360034062.png,1
310004163.png,0
371302281.png,1
370402102.png,0
310008012.png,1
310007021.png,1
330012032.png,1
370612142.png,1
340028102.png,0
320010312.png,0
360031184.png,0
320005593.png,0
360005102.png,1
320003311.png,1
371203111.png,1
371004101.png,0
370406211.png,1
360012521.png,1
371002041.png,1
370701022.png,0
310007331.png,1
310007121.png,1
370406223.png,0
370517161.png,1
350012162.png,0
370801271.png,1
370413082.png,0
350002231.png,0
310003431.png,1
340026031.png,0
371205041.png,1
370703102.png,1
320005831.png,1
340020092.png,0
360013201.png,0
310002102.png,1
320006301.png,0
371009071.png,1
320002871.png,1
370605112.png,0
350033021.png,1
371204241.png,0
350005071.png,1
370401201.png,0
370512102.png,0
350035141.png,1
370310131.png,1
370314092.png,0
350031241.png,1
320001631.png,0
320024071.png,1
360006322.png,0
350005121.png,0
340028181.png,0
330001721.png,1
330008201.png,1
370730042.png,1
370409101.png,0
371205182.png,0
370725042.png,0
360004303.png,0
370911073.png,0
320007371.png,1
320022071.png,1
370901112.png,0
371203123.png,0
340027363.png,0
370810181.png,0
340025031.png,0
340027121.png,1
370502121.png,0
