image,label
370507041.png,0
360008451.png,0
370322081.png,1
330003062.png,0
320029013.png,1
350014052.png,1
370609191.png,0
360005093.png,0
370803262.png,0
370402081.png,1
370301552.png,0
370409072.png,1
370911012.png,1
350032301.png,0
360008102.png,0
320009041.png,0
320001791.png,1
320002332.png,0
350001291.png,1
370803241.png,1
320006542.png,0
370313033.png,0
371201161.png,1
370315173.png,0
320003642.png,1
371001191.png,1
370105091.png,0
370103081.png,0
310011401.png,0
370720032.png,0
370520212.png,0
330008311.png,1
320007091.png,0
371301371.png,1
370313152.png,0
370801201.png,0
320002202.png,1
371105081.png,0
371201181.png,0
350031312.png,1
370502053.png,1
310001262.png,0
370502072.png,1
340007021.png,1
320006602.png,1
360003162.png,0
370311112.png,0
330002282.png,0
360012682.png,0
330002772.png,1
340026041.png,1
360010051.png,1
370301052.png,0
370320041.png,0
380202031.png,1
370312112.png,0
330002152.png,0
380102052.png,0
370402142.png,1
370701291.png,1
360034062.png,1
370803051.png,1
370807121.png,1
340003102.png,1
350034292.png,0
360008231.png,1
350007021.png,1
370903141.png,1
370316011.png,0
370715073.png,1
371402102.png,0
340005352.png,0
320002181.png,1
360002242.png,0
320001712.png,0
370710122.png,0
370905142.png,0
360001042.png,1
340009121.png,1
370902022.png,1
330002563.png,0
320008142.png,0
340011092.png,0
360031152.png,1
370607131.png,0
320007332.png,1
360008562.png,1
371007072.png,0
370404222.png,0
340007062.png,0
370602043.png,0
370517142.png,0
370705191.png,1
340021051.png,1
340006241.png,1
310011511.png,1
370326141.png,1
360008031.png,1
370801322.png,0
370406032.png,1
370519071.png,0
310005062.png,1
330008231.png,0
330003111.png,1
371001131.png,1
330004061.png,1
370325103.png,0
340004052.png,0
370611092.png,0
340025162.png,1
371101152.png,0
350032451.png,1
350029011.png,1
360005291.png,0
330008152.png,1
340003192.png,1
320014312.png,0
350029171.png,0
310002072.png,0
370802222.png,0
350017092.png,1
320015132.png,1
350032142.png,1
360005342.png,0
371206173.png,1
360020101.png,0
310012243.png,1
370505072.png,0
370501292.png,0
370311241.png,0
310004302.png,0
370908032.png,0
370809051.png,1
370101091.png,1
370716151.png,0
360008382.png,0
370717151.png,0
320003852.png,0
360008331.png,1
350035391.png,1
370301051.png,1
370911074.png,0
370703201.png,0
370320242.png,0
370913062.png,0
360003393.png,0
340011172.png,0
370606051.png,0
370616021.png,1
370317243.png,0
330011041.png,0
350031353.png,0
370605131.png,1
320005631.png,1
370719063.png,0
370402191.png,0
340008102.png,1
370910101.png,0
370504142.png,0
350033362.png,1
370726031.png,0
371016042.png,0
370702191.png,1
310004102.png,0
320010172.png,0
371402182.png,0
350029072.png,0
360035062.png,1
340020061.png,0
370722082.png,0
310012092.png,0
310012214.png,0
320002041.png,1
370602192.png,1
370729042.png,1
360029151.png,0
371101082.png,0
