name,width,height,result
320006603.png,347,459,0
360012582.png,487,670,1
330008271.png,481,597,1
320007211.png,236,319,1
370101031.png,354,483,1
371201081.png,260,302,1
370506052.png,244,335,1
370715021.png,276,347,1
370503233.png,200,247,0
350011022.png,274,424,0
350032191.png,203,278,0
370701111.png,396,456,0
340011011.png,590,795,0
371301232.png,416,499,1
340014091.png,603,823,1
370906101.png,246,337,1
360008381.png,268,363,0
340011171.png,573,822,1
310009032.png,354,472,1
320004311.png,478,665,1
371402371.png,321,438,0
310006233.png,388,516,0
370501382.png,661,787,0
320003611.png,427,593,1
320003472.png,427,593,1
371301512.png,408,490,1
370720071.png,294,386,1
350013111.png,194,253,0
320011201.png,236,330,1
371206131.png,260,302,0
371206221.png,260,302,1
370501351.png,661,787,1
370506181.png,391,521,1
360009261.png,268,363,0
340011232.png,613,801,1
320009281.png,355,525,0
370801172.png,410,530,1
370903013.png,402,460,0
360035021.png,330,468,1
320011242.png,236,330,1
380106021.png,390,552,1
330012243.png,421,523,1
320017171.png,118,151,0
320002771.png,339,468,0
370412071.png,369,492,0
360021012.png,383,433,1
350005211.png,469,545,1
310003461.png,412,547,1
370401021.png,413,551,0
320008061.png,408,593,1
360016041.png,96,133,1
310002092.png,440,550,0
350002133.png,207,268,0
371001331.png,356,391,0
320019061.png,142,174,1
340007211.png,413,531,1
340012211.png,429,561,1
370909051.png,371,416,0
360008011.png,268,363,1
310005181.png,310,413,1
370615151.png,234,307,1
340005141.png,560,756,1
370714102.png,261,319,1
350031182.png,372,483,0
370605011.png,535,653,1
370605071.png,489,593,0
370808182.png,523,662,0
370903021.png,414,457,1
330001072.png,261,319,0
3200011053.png,88,123,0
370609042.png,243,293,0
350033131.png,203,278,1
370406102.png,101,134,1
360015062.png,269,369,1
360021013.png,368,416,0
360012241.png,407,518,1
310003283.png,364,485,0
320004531.png,500,671,0
380102061.png,390,555,0
360034071.png,156,186,1
340025033.png,289,392,1
340008204.png,482,634,0
350001231.png,531,700,1
370719051.png,499,372,1
310009182.png,354,472,0
370310061.png,390,543,0
320002601.png,363,498,0
370604202.png,245,336,1
370502053.png,316,395,1
320012043.png,285,363,0
370801261.png,401,550,0
350032411.png,203,277,1
310007031.png,366,488,0
320024012.png,391,456,1
360001142.png,268,363,0
310003354.png,400,528,1
320001581.png,97,122,1
360004351.png,478,678,1
370511151.png,320,449,1
310010251.png,331,449,1
