name,result
320006603.png,0
360012582.png,1
370806111.png,0
370506052.png,1
370715021.png,1
370503233.png,0
350011022.png,0
350032191.png,0
370701111.png,0
340011011.png,0
371301232.png,1
370906101.png,1
360008381.png,0
340011171.png,1
310009032.png,1
371402371.png,0
310006233.png,0
370501382.png,0
320003472.png,1
371301512.png,1
370720071.png,1
350013111.png,0
371206131.png,0
370501351.png,1
370506181.png,1
360009261.png,0
340011232.png,1
320009281.png,0
370801172.png,1
370903013.png,0
320011242.png,1
380106021.png,1
330012243.png,1
320017171.png,0
320002771.png,0
370412071.png,0
360021012.png,1
350005211.png,1
310003461.png,1
370401021.png,0
320008061.png,1
360016041.png,1
310002092.png,0
350002133.png,0
371001331.png,0
320019061.png,1
370909051.png,0
370615151.png,1
370714102.png,1
350031182.png,0
370605071.png,0
370808182.png,0
371101041.png,1
370903021.png,1
330001072.png,0
3200011053.png,0
370609042.png,0
350033131.png,1
370406102.png,1
360015062.png,1
360021013.png,0
310003283.png,0
320004531.png,0
380102061.png,0
371101201.png,0
340025033.png,1
340008204.png,0
310009182.png,0
370310061.png,0
320002601.png,0
370604202.png,1
370502053.png,1
320012043.png,0
370801261.png,0
310007031.png,0
320024012.png,1
360001142.png,0
310003354.png,1
360004351.png,1
310010251.png,1
371301511.png,0
350037361.png,1
340021062.png,1
370807031.png,1
350028152.png,1
350015162.png,1
340006221.png,1
360007062.png,0
360012762.png,1
350032103.png,1
330004102.png,0
330012242.png,0
370729011.png,0
350034292.png,0
350037261.png,1
370702031.png,1
340002022.png,1
340024132.png,1
370609223.png,0
310010032.png,1
360020161.png,0
340008182.png,0
360004064.png,1
330002182.png,0
371302012.png,0
370810131.png,0
371202161.png,1
340022031.png,0
370503251.png,1
370312071.png,1
370517011.png,1
330012161.png,1
370301713.png,1
350037101.png,0
370808202.png,0
350029092.png,1
370709052.png,0
370901443.png,0
340010181.png,0
370604213.png,0
370314102.png,1
370607162.png,1
360013092.png,0
310003342.png,0
370610171.png,0
330002132.png,0
320004182.png,0
330012223.png,0
350015023.png,1
370515042.png,0
370301441.png,0
360024131.png,1
370609071.png,0
350021011.png,1
320006171.png,1
320002502.png,0
350003071.png,1
320009192.png,0
370706041.png,0
340017112.png,0
370730042.png,1
370103172.png,1
371207193.png,0
370803191.png,0
370411152.png,0
371401071.png,0
370616071.png,0
350007132.png,0
320010122.png,1
340007122.png,1
370520152.png,0
370301182.png,0
370402192.png,1
340006211.png,1
350012161.png,1
371207151.png,0
370509102.png,1
350012102.png,1
350002212.png,1
370615031.png,1
340021042.png,0
320001481.png,0
370401153.png,1
320004062.png,0
340028272.png,1
370601021.png,1
371205241.png,1
350032102.png,0
370322092.png,0
310004091.png,0
370713221.png,0
310004041.png,1
330010124.png,1
320001363.png,0
371401362.png,1
330010092.png,1
360006061.png,1
371016023.png,0
310012218.png,0
320004141.png,0
370413162.png,1
360030032.png,0
370612252.png,0
360002062.png,1
350033132.png,0
320009112.png,1
370314101.png,0
320020042.png,1
370811021.png,0
370616022.png,0
360013041.png,1
340015021.png,0
370323252.png,0
320008202.png,1
370407012.png,0
320006601.png,0
330010242.png,1
360011081.png,0
350034152.png,1
360005451.png,0
360004141.png,0
340015023.png,0
360012252.png,1
370504071.png,1
370732071.png,0
340006081.png,0
370301141.png,1
330008381.png,0
350035031.png,0
320001832.png,0
371203131.png,0
320006221.png,0
370709102.png,1
370904032.png,1
340020022.png,1
371001421.png,0
320001361.png,0
370717071.png,0
370718041.png,1
370302222.png,1
370702202.png,0
370501342.png,0
340025092.png,1
370510051.png,1
320010092.png,1
3200011091.png,0
360012332.png,1
370911074.png,0
360005143.png,0
370503241.png,0
320007342.png,0
370501282.png,1
370702131.png,0
370517162.png,0
310012213.png,0
340010061.png,1
340016051.png,0
370509011.png,1
370615022.png,1
370604141.png,1
370901331.png,1
370517022.png,0
350007152.png,1
370402171.png,1
360031082.png,1
360015181.png,1
360005502.png,0
320014092.png,0
370712102.png,1
320003072.png,0
350001132.png,0
370710082.png,1
370312041.png,0
370502142.png,0
370301252.png,0
340010182.png,0
370316011.png,0
370618072.png,1
360031122.png,0
340021101.png,1
370716082.png,1
350016022.png,1
370605092.png,0
350037241.png,1
371005032.png,1
370703211.png,0
370713161.png,1
370324112.png,0
320001261.png,0
370310292.png,1
320002041.png,1
370401244.png,0
370801011.png,0
350036062.png,1
370410042.png,1
360008132.png,1
320001542.png,0
350031251.png,1
340028202.png,0
370705051.png,0
330004121.png,0
360008362.png,1
370710031.png,1
350017061.png,1
360018061.png,0
320006392.png,1
340006101.png,1
371201231.png,1
330011103.png,0
330001591.png,1
350037332.png,0
371103082.png,1
330009201.png,0
320010172.png,0
350023103.png,0
340006132.png,0
360012052.png,0
370806102.png,0
370105042.png,1
310004382.png,1
360035071.png,0
330002541.png,1
320012071.png,0
370702101.png,1
350036011.png,1
370605072.png,1
370406091.png,0
360003393.png,0
320005701.png,1
370811031.png,1
370703162.png,0
310010262.png,0
320009102.png,0
371101262.png,0
370301521.png,0
310008291.png,0
320001211.png,1
320001182.png,1
320008142.png,0
360005342.png,0
320025011.png,0
370503182.png,1
370812011.png,1
320005311.png,0
370601151.png,1
371105072.png,1
370505092.png,1
370307142.png,1
370401162.png,1
340018062.png,1
370301181.png,1
320016142.png,1
370504201.png,0
370704103.png,0
350035302.png,1
370411153.png,0
371201181.png,0
320016152.png,1
320011012.png,1
360004183.png,0
370501172.png,0
370301541.png,1
360003162.png,0
310006191.png,1
320025022.png,1
371008033.png,0
371005062.png,0
330008321.png,0
320002612.png,0
350023061.png,1
360022072.png,0
320017092.png,0
310003281.png,1
370304012.png,0
360008522.png,1
370103121.png,1
360005721.png,1
370509041.png,0
350017011.png,1
320006482.png,1
340008293.png,0
370519181.png,0
3200021192.png,1
330010042.png,1
320025101.png,1
350027042.png,0
310006011.png,0
370517032.png,0
360009113.png,0
310001191.png,0
330004211.png,0
370801132.png,0
370913062.png,0
320004211.png,1
370407092.png,0
370701212.png,0
370101082.png,0
370606122.png,0
360004102.png,0
330001171.png,1
370901221.png,1
370103153.png,0
370801101.png,1
310004282.png,0
370110092.png,1
3200011192.png,0
350028151.png,0
370316012.png,1
370316062.png,0
360014061.png,1
320009042.png,1
340008101.png,0
360003074.png,1
350027033.png,1
330001292.png,0
360008131.png,0
340024121.png,1
360004114.png,0
310004344.png,1
340018102.png,1
360012142.png,0
370306181.png,0
360030132.png,0
371014031.png,1
370301072.png,0
371303031.png,1
370301051.png,1
350033362.png,1
370325083.png,0
370906134.png,0
370810121.png,0
360035131.png,1
360004311.png,0
350010112.png,0
370901212.png,1
310002031.png,1
370701021.png,1
370308123.png,0
371001101.png,0
320006263.png,0
360012193.png,1
350037052.png,1
370808091.png,1
330011032.png,1
340009322.png,1
350012131.png,0
370725011.png,1
371001011.png,0
360024022.png,0
371007052.png,0
371303032.png,0
340026081.png,1
350032032.png,1
370801031.png,1
370730052.png,1
320026012.png,1
370313041.png,1
360010061.png,0
330002221.png,0
350035411.png,0
320001173.png,1
360037051.png,0
360028051.png,0
340005082.png,1
370912052.png,0
310011151.png,0
370906024.png,0
371012012.png,0
340005163.png,0
370507153.png,0
370301391.png,1
371301251.png,0
360005841.png,1
330008452.png,0
340028102.png,0
330002442.png,1
371302332.png,1
370314211.png,0
370812051.png,1
320014272.png,0
350013091.png,1
320002121.png,1
370103041.png,0
340023072.png,0
350002072.png,0
371105081.png,0
340026141.png,0
330002491.png,1
320015092.png,0
320005471.png,0
371206243.png,0
330010283.png,0
370303292.png,0
360019192.png,1
340011282.png,0
320011452.png,1
340006342.png,1
370701282.png,1
350004091.png,1
350031292.png,0
310003511.png,0
360024101.png,1
360031121.png,1
370708051.png,0
340002141.png,0
320007061.png,1
340016021.png,0
370312142.png,0
370804111.png,0
370910091.png,0
320013461.png,0
370301473.png,0
370520112.png,1
310005211.png,0
370402313.png,0
320005322.png,0
320014302.png,0
350003142.png,0
310002141.png,1
370711061.png,1
371301192.png,0
360031191.png,0
370309082.png,1
370710081.png,0
320001101.png,0
370310122.png,0
370301303.png,1
330012061.png,0
370701411.png,1
360008461.png,0
320001152.png,1
310004343.png,0
380103082.png,1
320006242.png,1
370810083.png,1
340019122.png,0
360019332.png,0
310003312.png,0
370705272.png,1
310008091.png,0
340009212.png,0
370808032.png,0
330004162.png,1
350032082.png,1
370511011.png,1
320002722.png,1
360028042.png,0
370218013.png,1
340007032.png,0
350014122.png,1
350012152.png,0
350032423.png,0
370601041.png,1
370501013.png,0
340010041.png,0
310009061.png,1
310010202.png,0
320007193.png,0
370412132.png,0
350011011.png,0
320011011.png,0
360006251.png,0
350037111.png,0
370701482.png,0
320007332.png,1
370710043.png,0
350035041.png,0
370320011.png,1
370505131.png,0
340002091.png,0
320001171.png,0
370307091.png,1
370311022.png,1
360031192.png,0
370320082.png,0
371206251.png,0
360012532.png,0
370705262.png,0
350013042.png,1
370301451.png,0
360006144.png,0
360017021.png,0
350031071.png,1
350021032.png,0
360002251.png,1
370502152.png,1
320010182.png,1
370615012.png,0
320014381.png,1
360005291.png,0
370111031.png,0
360009491.png,0
370317161.png,0
350012022.png,0
380102051.png,0
350006051.png,0
370613021.png,1
370110011.png,1
340021102.png,0
340007022.png,0
350016041.png,0
310003121.png,0
330008092.png,1
360012282.png,1
320001131.png,1
320004301.png,0
370722081.png,1
370727041.png,1
370512122.png,1
370903052.png,0
370406192.png,1
320007121.png,0
340004112.png,1
330010232.png,1
370703231.png,1
370311111.png,1
340019062.png,0
371012011.png,0
371012062.png,1
370301342.png,0
370727051.png,0
3200021011.png,1
370732012.png,0
371102091.png,1
370701011.png,1
370513062.png,1
340011082.png,0
350012213.png,0
370612143.png,0
370701461.png,0
370909062.png,0
370312122.png,0
340018051.png,0
370105144.png,1
380201011.png,1
340008253.png,1
350002251.png,1
370306061.png,1
320011401.png,0
340022024.png,0
371001102.png,1
350005142.png,0
350012082.png,0
350020012.png,1
360024142.png,1
370810051.png,1
320002592.png,1
310004215.png,0
330002661.png,0
3200011082.png,0
310004112.png,0
370510061.png,0
370313141.png,0
340020062.png,1
370725044.png,0
370320141.png,0
360011302.png,1
330010162.png,0
340006182.png,1
370705112.png,1
320017161.png,1
350007022.png,0
360019291.png,0
330002361.png,0
360031112.png,0
350028172.png,1
320011031.png,0
370809121.png,0
371006061.png,1
370702182.png,1
310004092.png,1
320021122.png,1
370614032.png,0
370615142.png,0
370103033.png,0
371204172.png,1
370404072.png,0
370401132.png,1
350011012.png,1
371205082.png,0
340019132.png,1
370724022.png,1
370321091.png,0
320028042.png,1
350003211.png,0
371201132.png,1
350031213.png,0
320004052.png,1
330002582.png,1
370406162.png,0
370803091.png,1
360005552.png,1
360012221.png,0
330009091.png,0
371102072.png,1
370303055.png,0
320028103.png,0
370603102.png,0
340026152.png,1
370903091.png,0
370303291.png,1
320011433.png,0
360024061.png,0
370913043.png,0
310001162.png,1
371207191.png,0
350035152.png,1
350034241.png,0
340011081.png,1
370803232.png,1
371008013.png,0
370320192.png,0
310007033.png,0
370901372.png,1
360005772.png,0
371303132.png,0
371004132.png,1
330008401.png,1
371206082.png,0
370408022.png,1
371001043.png,0
371401112.png,0
350033352.png,0
370702172.png,1
370520091.png,1
320010312.png,0
350012132.png,1
370504112.png,0
310009091.png,1
330009262.png,0
371204112.png,0
370911011.png,0
370412052.png,0
370719091.png,1
340008212.png,0
370906092.png,0
360011303.png,0
360012051.png,0
350005212.png,0
371101272.png,1
370513132.png,1
330008122.png,0
370713032.png,1
340009141.png,1
310009132.png,0
320021081.png,0
371101062.png,1
330004252.png,1
370201182.png,0
370605251.png,0
360014112.png,1
370717093.png,0
3200011242.png,0
370714152.png,1
320011472.png,0
330008422.png,0
370703011.png,0
371013042.png,0
370616012.png,1
330008212.png,0
340009122.png,0
310012031.png,0
370303242.png,1
370309121.png,1
320011431.png,0
310011312.png,1
370606141.png,0
360005472.png,0
320009282.png,1
360031092.png,1
370517012.png,0
350031051.png,1
360005811.png,0
340011192.png,1
320003451.png,0
370810082.png,0
370519151.png,0
370905162.png,0
370802061.png,0
320005162.png,1
360005161.png,0
3100122110.png,0
340019031.png,1
310012212.png,1
370701551.png,0
330002823.png,0
370511103.png,0
370413104.png,0
320003132.png,1
370601132.png,0
320010181.png,0
370503092.png,1
370506151.png,1
370901423.png,1
371001162.png,1
371012016.png,0
320028072.png,1
370412121.png,0
340026172.png,0
370612032.png,0
370313092.png,0
370705241.png,1
360015072.png,0
340026021.png,0
370303211.png,0
310008211.png,1
370810032.png,1
370309111.png,1
310007321.png,0
320006403.png,0
370407062.png,0
320016032.png,0
350029162.png,1
320004571.png,1
310008301.png,0
330004322.png,0
360014032.png,1
360011082.png,1
360001062.png,0
371101232.png,0
370512112.png,1
370103083.png,1
370101292.png,0
370612233.png,0
340015181.png,1
320002992.png,1
370605271.png,1
360015071.png,1
340026131.png,1
320005052.png,0
370306182.png,0
370317131.png,1
350032132.png,0
320001181.png,0
350020052.png,0
370101173.png,0
370705091.png,1
350016072.png,0
310004273.png,0
340024162.png,1
320004623.png,0
371301281.png,0
350029151.png,0
310004217.png,0
320024102.png,1
360028053.png,0
3200011244.png,0
360010051.png,1
340020041.png,0
370717051.png,1
370612192.png,1
370401211.png,1
330011222.png,1
370907142.png,1
320005481.png,0
371202162.png,0
370614042.png,0
370905012.png,1
360009182.png,0
360004163.png,0
320007242.png,0
370105163.png,0
370801171.png,0
370612241.png,0
370714112.png,1
360005201.png,0
370101121.png,0
360006252.png,1
320020041.png,0
371001412.png,1
370710021.png,1
