地區,村里碼,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,編碼,學歷,經歷,政見,unique
臺北市松山區富錦里,5,李煥中,1,男,1967,中國國民黨,1636,0.6111,1,否,710001051,東海大學社會學系省立岡山高級中學高雄市立五福國中高雄縣立岡山國小,臺北市議員陳孋輝辦公室主任臺北市民生社區商圈發展協會理事長臺北市富民生態環境保育學會理事長銘傳大學管理研究所學分班,新富錦新願景1、提升環境品質－全里汙水管及防火巷鋪面全面更新。2、建置安全居家－與社會局、警察局協力合作社區守望相助。3、活化在地經濟－在三民路136巷導入創意市集。4、促進健康生活－成立單車、慢跑、球類等各類運動社團。5、擴大場所規模－打造「富錦里民活動場所」成為社區學習、休憩中心。6、籌組生態營隊－推動「富民生態公園」第二10年發展計畫，使生態公園成為環境教育基地。7、增加親子活動－暑假辦理戶外親水、生態及鐵道微旅行，體驗漫活樂趣。8、重整商圈景觀－改造民權東路水族商圈硬體設施，補植路樹、更新鋪面，以構築良好購物及居住環境。,1
臺北市松山區富錦里,5,江雪花,2,女,1952,中國國民黨,1041,0.3888,0,否,710001052,臺灣省立臺北師範專科學校畢業,1私立旭光幼兒園園長。2富錦里11鄰鄰長。3富錦社區發展協會理事長。4富錦里巡守隊。,1、成立合法警察局核准之守望相助隊以保護里內安全。2、關懷婦女，並不定期舉辦親子教育活動。3、爭取經費辦理老人共餐，訪視獨居老人、關懷低收入戶，將愛心送到每個角落。4、深耕在地、服務在地，專職里長，用心服務。5、加強生態公園的維護，讓生態多元化的使用。6、推動辦理傳統節慶，做好敦親睦鄰，讓富錦里像個大家庭。7、將持續與市府相關單位協調配合，爭取老舊社區都更計畫，創造更優質的居住環境。8、爭取監視器設備，保障加強居家安全。,1
臺北市松山區精忠里,9,廖世雄,1,男,1968,無黨籍及未經政黨推薦,1047,0.4572,0,否,710001091,稻江科技大學境外EMBA企業管理碩士專班畢業專科學校畢業家事類美容造型設計科,世紀精緻國際美髮商行負責人。台北市理燙髮職業工會現任常務理事。擔任國家男子乙丙級檢定評審。,1、維護社區環境陣容：推動社區《節能減碳》、《綠色環保》。2、督促社區守望相助隊，結合警察機關加強巡邏以維護居民安全。3、定期舉辦宣導、健康講座、技藝研習(如：唱歌、舞蹈、插花、摺紙、傳統美食、電腦班等)及健行活動，以提升生活品質。4、關心獨居老人定期提供生活協助，擔任里長期間每月提撥5000元作為急難救助金。5、定期實施社區大掃除、消毒作業及修剪維護樹木，以維護居民居家環境衛生整潔。6、提供二手物資交換整合平台，讓資源充分再利用。7、誠心誠意從『聽』做起，聽里民聲音、反應民意及維護里民權益，解決問題。8、聯合組織特約店家提供里民優惠優質服務。,1
臺北市松山區精忠里,9,賴美旭,2,女,1970,中國國民黨,1243,0.5427000000000001,1,否,710001092,二水國小二水國中省立彰化高商國立台北商業專科學校,台北市彩霞教育基金會音樂帶領講師中華民國健身運動協會樂齡健身運動指導員花蓮門諾醫院音樂帶領工作坊講師屏東旅遊醫院音樂帶領工作坊講師中華民國港澳協會秘書,持續推動里政，從課程學習、節慶活動、社區關懷到社區的每一個角落。●協助里民電梯或樓梯附掛式升降座椅之裝置申請。●推動節能綠化持續配合環保局舉辦資收站，鼓勵資源回收物回收集點兌換民生用品，達到垃圾確實分類、垃圾減量政策。●持續與周邊學校合作，讓青年學子參與社區活動與服務，實踐公共服務的精神，並定期舉辦社區清潔日與社區消毒日。●持續舉辦各式節慶活動，設計多元活動內容，鼓勵二代、三代共同參與，營造更優質的社區讓精忠幸福延續下去。●持續推動多元的課程學習，豐富里民生活:體能運動班、擊鼓作樂班、禪繞藝術班、音樂表演藝術班、MV熱舞班、桌遊健腦班等。●營造濃厚的人情味與幸福感，使左鄰右舍彼此互相認識，家家守望相助，減少犯罪率。,1
臺北市松山區中正里,24,洪樸陽,1,男,1958,無黨籍及未經政黨推薦,2347,0.5151,1,否,710001241,臺灣警察專科學校畢業,基隆市警局第二分局警員松山區公所安平里、新聚里、中正里里幹事服務18年松山區公所民政課課員退休中正里巡守隊隊長中正里里辦公處志工,承接前任周里長「服務、認真」的精神：一、充分發揮守望相助隊功能，提升裝備及人力。加強里內夜間照明、協調警局增加監視器數量，結合校園安全巡守，形成最安全的社區防護網。二、打造防救災團隊，使中正里成為韌性社區，落實減災教育、平時準備、因應災害、災後恢復之能力。三、優先增設行人專用道，保障長者及小朋友“行”的安全。四、持續改造敦中及慶城公園之環境，透過植栽設計、增進照明、改善兒童遊戲設施等方式，構建更舒適之休憩空間。五、協助推動里內老舊建物之都更，最大化爭取鄉親的權益及福利。六、後巷及防火巷美化，除硬體更新外，並加入藝文元素塑造特色。七、推動社區照顧、維護弱勢權益、為各族群發聲，透過寒冬送暖等活動持續幫助弱勢家庭。八、傾聽意見;尊重民意，盡力解決里民反應之問題。,1
臺北市松山區中正里,24,方禎璋,2,男,1955,無黨籍及未經政黨推薦,2209,0.4848,0,否,710001242,國立臺北科技大學土木與防災研究所碩士工程科技研究所土木防災組博士,1、客家委員會諮詢委員2、公共工程委員會公共工程施工查核小組查核委員專家登錄名單3、敦化國中家長會副會長、會長4、中崙義警分隊，中隊隊長10年,真正在地，禎心在意三大主軸：確保學子安全、完善鄰里環境、推動行政透明1、我在意學子安全：以防災博士、公共工程查核委員專業能力監督敦化國小校舍改建，讓孩子安全成長。2、我在意里民安居：公園溝渠環境清潔、人車確實分流、里內路平燈亮，讓里民安心居住。3、我在意公開透明：里內建設經費運用清楚公布，絕不巧立名目浪費社區資源。在地居住五代，深度了解環境，讓我們共同攜手打造中正里成為全齡宜居環境。,1
臺北市松山區福成里,32,葉佐良,1,男,1948,中國國民黨,721,0.5364,1,否,710001321,東吳大學外文系畢業,東亞運輸倉儲公司業務部副理中國力霸公司國外部襄理臺灣省商業會副總幹事利得電子公司副總經理擔任福成里第七鄰鄰長30多年,1、爭取經費於各巷口及巷弄間多裝監視器，防止宵小及不良分子的滋事行為以維護社區安全。2、租用外面場地或利用本里里辦公室辦理各項相關的教學或講座課程。3、除繼續辦理國內旅遊外，擬增加辦理國外旅遊。4、設立本里里民LINE的群組，除可政令宣達外，組員可藉此平台發表有益於里民的相關訊息。5、定期清掃防火巷，以維護里上的環境清潔。6、定期疏通及消毒衛生下水道與水溝。7、過年過節辦理里民敦親睦鄰親子園遊會。8、加強關懷資深長者及弱勢族群，並適時提供必要的急難救助。,1
臺北市松山區福成里,32,林順松,2,男,1954,無黨籍及未經政黨推薦,623,0.4635,0,否,710001322,中興大學(現台北大學)合作經濟系畢業。台南一中畢業。,參選上屆里長，7票之差落選。敦化國小首位愛心導護爸爸，24年來，天天到學校執勤。六年前與柯文哲同登玉山頂峯。全國家長團體聯盟常務監事。,一、發揮志工精神二、充分運用社區資源三、讓健康資深公民貢獻智慧和活力四、讓需要關懷的里民受到照顧五、清理廢棄腳踏車六、增進里民身心靈健康福成里社區資源非常豐富，金控有二家、教會二家、福成宮、台安醫院、安親班、英文補習班，鄰近更有敦化國中小、中崙圖書館、松山運動中心、社教館、小巨蛋……，捷運系統、公車等接駁，交通也非常方便，生活機能幾希無所不備；里民中，也不乏退休的成功人士及社會賢達。可惜的是，無人加以整合，辜負了老天給我們的資源。不老林如能順利當選，當盡心盡力好好經營整合，以促進社區發展。,1
臺北市信義區中興里,4,趙惠美,1,女,1962,無黨籍及未經政黨推薦,996,0.5978,1,否,710002041,臺北市立商業職業學校綜合商業科,中國國民黨信義區黨部中興里書記中興里李茂榮里長助理(六屆),單一窗口服務(秉持「里民優先」的精神，以「單一窗口」服務方式，直接為里民提供最優質服務方式，省卻舟車勞頓之苦。爭取地方建設(成功爭取信義之星活動中心並規劃各類養生學習課程與運動)關懷里內長者(協助長者樂齡學習與老人共餐照護服務)課後安親照護(提供年輕父母幼童課後照護服務)促進地方發展(本里納入信義計劃發展區域)加強社區治安(守望相助隊與志工招募及警民連線)維護交通順暢(信義路與基隆路、光復南路兩路口順暢)促進都市更新(危險老舊住宅更新獎勵爭取)爭取停車獎勵(爭取市府停車場給予本里里民優惠獎勵)維持地方和諧(協調本里人事物各項互動之和諧推動)加強資源回收(結合地區社會團體加強資源物品再利用),1
臺北市信義區中興里,4,吳孟環,2,女,1955,中國國民黨,670,0.4021,0,否,710002042,新竹市三民國民小學新竹市培英國民中學省立新竹女子高級中學海洋大學海洋系畢業,智奇機械有限公司業務經理永大法律事務所業務祕書優實股份有限公司業務祕書雷慕斯有限公司業務祕書法元聯合法律事務所秘書,1.爭取優先設置中興活動中心與辦公室2.公共設施一定先辦里民公聽會3.爭取市府停車優惠與市貿塞車空污回饋4.成立防毒社區爭取鄰長意外保險5.里辦公室可臨託下課後學童與自理年長者6.爭取年長者身障者安全求救手環7.資源全里民共享嚴拒利益團體入中興8.環保回饋金送不銹鋼餐具節慶聚餐應用9.數位創意新社區族群溶合中興大家庭,1
